tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_as_to_br.1;321.00;23687583_0;5.10;0.00;0.34;464.00;23156390_0;1121.44;12.90;143.00;1694.48;0.00;0;0.00;10.82;0;tripinfo_wu_as_to_br.1;car;1.16;
wu_as_to_gj.5;386.00;23687583_0;5.10;0.00;3.33;465.00;23527526_0;253.75;11.14;79.00;649.06;0.00;0;0.00;21.26;0;tripinfo_wu_as_to_gj.5;car;1.04;
wu_od_to_gg.1;90.00;803785575#0_0;5.10;0.00;0.40;467.00;23156305_0;1264.14;10.59;377.00;3669.96;0.00;0;0.00;33.24;0;tripinfo_wu_od_to_gg.1;car;0.97;
wu_ns_to_kl.0;206.00;-23142338#2_0;5.10;0.00;0.53;468.00;28716808#1_0;754.74;11.12;262.00;2315.58;28.00;2;0.00;60.82;0;tripinfo_wu_ns_to_kl.0;car;1.04;
wu_ba_to_gj.6;290.00;-230845886_0;5.10;0.00;0.84;468.00;23527526_0;253.75;11.09;178.00;1755.68;0.00;0;0.00;18.98;0;tripinfo_wu_ba_to_gj.6;car;1.00;
wu_as_to_os.7;324.00;23687583_0;5.10;0.00;2.61;469.00;45494495_0;58.90;12.21;145.00;1689.77;0.00;0;0.00;12.50;0;tripinfo_wu_as_to_os.7;car;1.15;
wu_ns_to_ba.0;216.00;-23142338#2_0;5.10;0.00;1.84;472.00;230845886_0;633.12;10.34;256.00;2340.42;9.00;1;0.00;48.52;0;tripinfo_wu_ns_to_ba.0;car;1.02;
wu_od_to_ns.3;156.00;803785575#0_0;5.10;0.00;0.35;481.00;23142338#2_0;290.21;9.53;325.00;1928.29;95.00;3;0.00;132.52;0;tripinfo_wu_od_to_ns.3;car;0.97;
wu_os_to_ns.1;163.00;-45494495_0;5.10;0.00;0.94;484.00;23142338#2_0;290.21;10.38;321.00;1665.91;112.00;4;0.00;150.27;0;tripinfo_wu_os_to_ns.1;car;0.95;
wu_ba_to_os.4;320.00;-230845886_0;5.10;0.00;0.29;491.00;45494495_0;58.90;10.29;171.00;1647.96;0.00;0;0.00;13.97;0;tripinfo_wu_ba_to_os.4;car;0.95;
